,Name,IMDB_Rating,Year
0,The Godfather,9.2,1972
1,The Shawshank Redemption,9.3,1994
2,Schindler's List,8.9,1993
3,Raging Bull,8.2,1980
4,Casablanca,8.5,1942
5,Citizen Kane,8.3,1941
6,Gone with the Wind,8.1,1939
7,The Wizard of Oz,8,1939
8,One Flew Over the Cuckoo's Nest,8.7,1975
9,Lawrence of Arabia,8.3,1962
10,Vertigo,8.3,1958
11,Psycho,8.5,1960
12,The Godfather: Part II,9,1974
13,On the Waterfront,8.1,1954
14,Sunset Blvd.,8.4,1950
15,Forrest Gump,8.8,1994
16,The Sound of Music,8,1965
17,12 Angry Men,9,1957
18,West Side Story,7.5,1961
19,Star Wars,8.6,1977
20,2001: A Space Odyssey,8.3,1968
21,E.T. the Extra-Terrestrial,7.8,1982
22,The Silence of the Lambs,8.6,1991
23,Chinatown,8.1,1974
24,The Bridge on the River Kwai,8.1,1957
25,Singin' in the Rain,8.3,1952
26,It's a Wonderful Life,8.6,1946
27,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,1964
28,Some Like It Hot,8.2,1959
29,Ben-Hur,8.1,1959
30,Apocalypse Now,8.4,1979
31,Amadeus,8.3,1984
32,The Lord of the Rings: The Return of the King,8.9,2003
33,Gladiator,8.5,2000
34,Titanic,7.8,1997
35,From Here to Eternity,7.6,1953
36,Saving Private Ryan,8.6,1998
37,Unforgiven,8.2,1992
38,Raiders of the Lost Ark,8.4,1981
39,Rocky,8.1,1976
40,A Streetcar Named Desire,8,1951
41,The Philadelphia Story,7.9,1940
42,To Kill a Mockingbird,8.2,1962
43,An American in Paris,7.2,1951
44,The Best Years of Our Lives,8,1946
45,My Fair Lady,7.8,1964
46,A Clockwork Orange,8.3,1971
47,Doctor Zhivago,8,1965
48,The Searchers,7.9,1956
49,Jaws,8,1975
50,Patton,7.9,1970
51,Butch Cassidy and the Sundance Kid,8,1969
52,The Treasure of the Sierra Madre,8.2,1948
53,"Il buono, il brutto, il cattivo",8.8,1966
54,The Apartment,8.3,1960
55,Platoon,8.1,1986
56,High Noon,7.9,1952
57,Braveheart,8.3,1995
58,Dances with Wolves,8,1990
59,Jurassic Park,8.1,1993
60,The Exorcist,8,1973
61,The Pianist,8.5,2002
62,Goodfellas,8.7,1990
63,The Deer Hunter,8.1,1978
64,All Quiet on the Western Front,8,1930
65,Bonnie and Clyde,7.8,1967
66,The French Connection,7.7,1971
67,City Lights,8.5,1931
68,It Happened One Night,8.1,1934
69,A Place in the Sun,7.8,1951
70,Midnight Cowboy,7.8,1969
71,Mr. Smith Goes to Washington,8.1,1939
72,Rain Man,8,1988
73,Annie Hall,8,1977
74,Fargo,8.1,1996
75,Giant,7.6,1956
76,Shane,7.6,1953
77,The Grapes of Wrath,8,1940
78,The Green Mile,8.6,1999
79,Close Encounters of the Third Kind,7.6,1977
80,Nashville,7.7,1975
81,Network,8.1,1976
82,The Graduate,8,1967
83,American Graffiti,7.4,1973
84,Pulp Fiction,8.9,1994
85,Terms of Endearment,7.4,1983
86,Good Will Hunting,8.3,1997
87,The African Queen,7.7,1951
88,Stagecoach,7.8,1939
89,Mutiny on the Bounty,7.7,1935
90,The Great Dictator,8.4,1940
91,Double Indemnity,8.3,1944
92,The Maltese Falcon,8,1941
93,Wuthering Heights,7.6,1939
94,Taxi Driver,8.2,1976
95,Rear Window,8.4,1954
96,The Third Man,8.1,1949
97,Rebel Without a Cause,7.7,1955
98,North by Northwest,8.3,1959
99,Yankee Doodle Dandy,7.7,1942
