,Title,Company,Location,Experience
0,Data Scientist / Data Analyst -Business Analyst,Inflexion Analytix Private Limited,"Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru",0-3 Yrs
1,Data Scientist - High growth VC backed Influencer Marketplace,Ravgins International Pvt. Ltd.,"Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",3-5 Yrs
2,Data Scientist,IBM India Pvt. Limited,"Noida, Hyderabad/Secunderabad, Bangalore/Bengaluru",4-9 Yrs
3,Excellent opportunity For Data Scientist,NEC CORPORATION INDIA PRIVATE LIMITED,"Noida, Bangalore/Bengaluru",3-7 Yrs
4,Data Scientist,Mobikwik,"New Delhi, Gurgaon/Gurugram, Delhi / NCR",3-5 Yrs
5,DATA Scientist – Gurgaon (Exp 3-6 years),CRESCENDO GLOBAL LEADERSHIP HIRING INDIA PRIVATE L IMITED,"Gurgaon/Gurugram, Delhi / NCR",3-6 Yrs
6,DATA Scientist – Gurgaon (Exp 3-6 years),CRESCENDO GLOBAL LEADERSHIP HIRING INDIA PRIVATE L IMITED,"Gurgaon/Gurugram, Delhi / NCR",3-6 Yrs
7,Data Scientist - Noida,Optum Global Solutions (India) Private Limited,Noida,3-5 Yrs
8,Data Scientist - Noida/ B'lore,NEC CORPORATION INDIA PRIVATE LIMITED,"Noida, Bangalore/Bengaluru",3-8 Yrs
9,Data Scientist,Cloudstrats Technologies Private Limited,"Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",5-8 Yrs
